,experiment,clip,causality_0.0,causality_0.1,causality_0.2,causality_0.3,causality_0.4,causality_0.5,causality_0.6,causality_0.7,causality_0.8,causality_0.9,causality_1.0,causality_1.1,causality_1.2,causality_1.3,causality_1.4,causality_1.5,causality_1.6,causality_1.7,causality_1.8,causality_1.9,causality_2.0
0,1,video3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,video7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,video12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,video4,0.0,0.001,0.034,0.1139999999999999,0.182,0.261,0.297,0.3219999999999999,0.3419999999999999,0.352,0.358,0.38,0.38,0.394,0.382,0.407,0.41,0.403,0.407,0.383,0.404
4,1,video1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,video9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1,video10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1,video11,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.997,0.99,0.981,0.958,0.945,0.939,0.897,0.894,0.883,0.882,0.858,0.835,0.812,0.8140000000000001
8,1,video8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,video6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
